,index,WBS,Task.Name,Score.Groups,link,begin,end,Predecessors,leaf,prob
56,56,1.6.3.1.,Introduction to factorization,3,https://www.youtube.com/watch?v=gYvIcPLg3NI,,,6,TRUE,62
57,57,1.6.3.2.,Prime Factorization,4,https://www.youtube.com/watch?v=XWq8bplP-_E,,,59,TRUE,30
58,58,1.6.3.3.,GCF,4,"https://www.youtube.com/watch?v=jFd-6EPfnec
https://www.youtube.com/watch?v=Ck_9LlabVt8",,2:27,57,TRUE,30
59,59,1.6.4.,Prime Numbers,4,https://www.youtube.com/watch?v=9pgA-H77BLc,,,56,TRUE,30
62,62,1.7.1.1.,Introduction to Percents,3,https://www.youtube.com/watch?v=Lvr2YsxG10o,,,21,TRUE,62
63,63,1.7.1.2.,Percent Change,3,https://www.youtube.com/watch?v=TpZXX-GsmB0,,,62,TRUE,62
64,64,1.7.1.3.,Chain Percentage,4,,,,62,TRUE,30
65,65,1.7.1.4.,Inverting Percent change,4,,,,63,TRUE,30
67,67,1.7.2.1.,Introduction to ratio,3,https://www.youtube.com/watch?v=bIKmw0aTmYc,,,21,TRUE,62
68,68,1.7.2.2.,Chain ratio,4,,,,67,TRUE,30
69,69,1.7.3.,Proportion,1,"https://www.youtube.com/watch?v=JeugfMGDSIc
https://www.youtube.com/watch?v=P_aQPxr2G_4",,,67,TRUE,97
71,71,1.8.1.,Introduction to sequence,2,https://www.youtube.com/watch?v=p-rc5mTDt9E,,1:41,6,TRUE,85
72,72,1.8.2.,Arithmetic Progression,3,"https://www.youtube.com/watch?v=_cooC3yG_p0
https://www.youtube.com/watch?v=xWHfQGBzgbc",,2:44,71,TRUE,62
73,73,1.8.3.,Geometric Progression,4,https://www.youtube.com/watch?v=dIGLhLMsy2U,,2:18,71,TRUE,30
74,74,1.8.4.,Mixed,4,,,,71,TRUE,30
75,75,1.9.,Arithmetic word Problems,4,,,,6,TRUE,30
77,77,1.10.1.,Listing all possible options,4,,,,95,TRUE,30
79,79,1.10.2.1.,Introduction to permutation,5,https://www.youtube.com/watch?v=uYwjFWqVSBE,,,6,TRUE,7
80,80,1.10.2.2.,Restricted Permutations,5,"https://www.youtube.com/watch?v=yZ_0HmTn0oI
https://www.youtube.com/watch?v=zxxrR2oa0-M
https://www.youtube.com/watch?v=dW6r1T-Y1Mk",".
.
3:26","1:50
3:36
6:50",79,TRUE,7
81,81,1.10.2.3.,Permutation of items where multiple copies of same item are present,5,https://www.youtube.com/watch?v=DpRjzwbwfUk,4:18,8:08,79,TRUE,7
83,83,1.10.3.1.,Introduction to combination,5,https://www.youtube.com/watch?v=uYwjFWqVSBE,,,6,TRUE,7
84,84,1.10.3.2.,Making team of...,5,,,,83,TRUE,7
85,85,1.10.3.3.,All possible pair,5,,,,83,TRUE,7
87,87,1.11.1.,Introduction to Exponents,2,https://www.youtube.com/watch?v=XZRQhkii0h0,,,6,TRUE,85
88,88,1.11.2.,Inequalities of exponents,3,,,,87,TRUE,62
90,90,1.11.3.1.,Introduction to multiplication of terms with same base,4,"https://www.youtube.com/watch?v=kITJ6qH7jS0
https://www.youtube.com/watch?v=kITJ6qH7jS0","2:22
5:43","5:01
8:33",87,TRUE,30
91,91,1.11.3.2.,Negative exponents,5,https://www.youtube.com/watch?v=JnpqlXN9Whw,,2:43,90,TRUE,7
93,93,1.11.4.1.,Introduction to multiplication of exponents,4,https://www.youtube.com/watch?v=rEtuPhl6930,0:53,2:27,87,TRUE,30
94,94,1.11.4.2.,Fractional Expoents,5,"https://www.youtube.com/watch?v=tOuCdKqO6-s
https://www.youtube.com/watch?v=tOuCdKqO6-s","5:11
8:18","7:22
10:14",93,TRUE,7
95,95,1.12.,Logical Reasoning,1,,,,,TRUE,97
97,97,1.13.1.,Speed and Distance,2,,,,"6, 21",TRUE,85
98,98,1.13.2.,Work Rate,2,,,,"6, 21",TRUE,85
100,100,2.1.,Basic Algebraic operations,1,"https://www.youtube.com/watch?v=DBV-R5it_Kw
https://www.youtube.com/watch?v=-1Mxuqifo1k",,2:55,6,TRUE,97
102,102,2.2.1.,difference of square,2,https://www.youtube.com/watch?v=tvnOWIoeeaU,,,100,TRUE,85
103,103,2.2.2.,taking common terms out,2,https://www.youtube.com/watch?v=FuHThqvKaKU,,,100,TRUE,85
104,104,2.2.3.,middle term expansion of quadratic expression,2,https://www.youtube.com/watch?v=YMBjk_v-0j8,,,100,TRUE,85
