WBS,Task Name,link,begin,end,Predecessors,is soft pred.1,is soft pred.2,Details,Start,Finish,Duration,% Complete,Status,Assigned To,Comments
1.4.4.1,Multiplication of decimals,https://www.youtube.com/watch?v=JEHejQphIYc,,2:18,21,,,Adding decimal places,,,1,,,,
1.4.4.2,Division of decimals,https://www.youtube.com/watch?v=nfTTVYwN9tc,,,21,,,removing decimal n dividing,,,1,,,,
1.4.4.3,Place Value,https://www.youtube.com/watch?v=K6NM8rWhdxU,,,21,,,Place value and absolute value,,,1,,,,
1.4.4.4,Scientific Notation,https://www.youtube.com/watch?v=zwBsL-NgkjE,0:17,,21,,,writing 1.3 as 13x10^{-1},,,1,,,,
1.5.,Squares and Square roots,,,,,,,,,,,,,,
1.5.1,Squaring an Integer,,,,,,,,,,,,,,
1.5.1.1,Introduction to squaring,https://www.youtube.com/watch?v=tp87SUS4mMI,0:23,2:15,"6, 15",,,squaring is multiplying the number by itself,,,,,,,
1.5.1.2,Squaring Negative Integers,https://www.youtube.com/watch?v=VhJyEUdBpkk,,,"6, 15",,,Negative numbers become positive,,,1,,,,
1.5.1.3,Perfect Square Numbers,,,,37,,,"numbers which are square of other numbers, a few properties of square numbers",,,1,,,,
1.5.2,Square root of integers,"https://www.youtube.com/watch?v=tp87SUS4mMI
https://www.youtube.com/watch?v=5_gvcR6W_4g",2:28,3:55,"37, 57",,,"Rational, as well as irrational Numbers",,,1,,,,
1.5.3,Square of Fractions,,,,37,,,squaring numerator and denominator,,,,,,,
1.6.,Number Theory,,,,,,,,,,,,,,
1.6.1,Divisibility,,,,,,,,,,,,,,
1.6.1.1,Introduction to Divisibility,https://www.youtube.com/watch?v=LUmbdLGeVQw,,2:37,6,,,a number is divisible by another if there is no remainder,,,,,,,
1.6.1.2,Tricks to check Divisibly by specific numbers,,,,,,,,,,,,,,
1.6.1.2.1,Divisible by 3,https://www.youtube.com/watch?v=2G_Jr_XpnY4,0:55,2:06,44,,,rule to determine if a number is divisible by 3,,,1,,,,
1.6.1.2.2,Divisible by 5,https://www.youtube.com/watch?v=0qMsYaM1ito,,,44,,,rule to determine if a number is divisible by 5,,,1,,,,
1.6.1.2.3,Divisible by 7,,,,44,,,rule to determine if a number is divisible by 7,,,1,,,,
